Driver,Age,Year,Series,Team,AVG Finish,TAAF Delta,AF YoY Change,TAAF Delta YoY Change,Advanced to Indy NXT,Advanced to IndyCar,Series-Adj AVG Finish,Series-Adj TAAF Delta,Prospect Score,Age Adjustment,Age-Adjusted Score,xPACE_Oval,xPACE_Road,xPACE_Long_Road,xPACE_Short_Road,xPACE_Street,Indy_xPACE
Braden Eves,21,2021,USF Pro 2000,Exclusive Autosport,3.94,-0.503,,,,,3.94,-0.5,75.9,0.0,75.9,79.9,90.6,88.7,91.4,91.2,86.7
Braden Eves,22,2022,USF Pro 2000,Jay Howard Driver Development,6.18,-1.18,2.24,-0.677,,,6.18,-1.18,75.9,0.0,75.9,79.9,90.6,88.7,91.4,91.2,86.7
Braden Eves,24,2024,USF Pro 2000,Exclusive Autosport,11.07,-0.64,,,,,11.07,-0.64,75.9,0.0,75.9,79.9,90.6,88.7,91.4,91.2,86.7
Jeremy Fairbairn,17,2022,USF Juniors,Crosslink Kiwi Motorsports,8.94,-1.39,,,,,10.57,-0.04,38.3,0.0,38.3,,85.4,74.4,90.9,,
Lucas Fecury,20,2024,USF2000,DEForce Racing,13.17,1.26,4.54,-1.7,,,13.04,2.39,24.0,0.0,24.0,20.1,86.0,86.4,85.7,75.7,59.8
Lucas Fecury,21,2025,USF2000,Exclusive Autosport,10.17,2.11,-3.0,0.85,,,10.04,3.24,24.0,0.0,24.0,20.1,86.0,86.4,85.7,75.7,59.8
Lucas Fecury,19,2023,USF Juniors,DEForce Racing,8.63,2.96,-4.59,-0.34,,,10.26,4.31,24.0,0.0,24.0,20.1,86.0,86.4,85.7,75.7,59.8
Lucas Fecury,18,2022,USF Juniors,Crosslink Kiwi Motorsports,13.22,3.3,,,,,14.85,4.65,24.0,0.0,24.0,20.1,86.0,86.4,85.7,75.7,59.8
Eric Filgueiras,22,2016,USF2000,Spencer Racing,19.17,0.0,,,,,19.04,1.13,30.5,0.0,30.5,,33.8,0.0,36.0,29.2,12.8
Charles Finelli,54,2018,USF Pro 2000,BN Racing,11.15,5.9625,,,,,11.15,5.96,27.9,-25.0,2.9,12.6,29.1,33.1,24.3,9.9,18.0
Charles Finelli,55,2019,USF Pro 2000,FatBoy Racing,11.09,1.6417,-0.06,-4.3208,,,11.09,1.64,27.9,-25.0,2.9,12.6,29.1,33.1,24.3,9.9,18.0
Charles Finelli,56,2020,USF Pro 2000,FatBoy Racing,13.0,0.0,1.91,-1.6417,,,13.0,0.0,27.9,-25.0,2.9,12.6,29.1,33.1,24.3,9.9,18.0
Charles Finelli,61,2025,USF Pro 2000,FatBoy,15.75,0.0,,,,,15.75,0.0,27.9,-25.0,2.9,12.6,29.1,33.1,24.3,9.9,18.0
TJ Fischer,22,2016,USF Pro 2000,Team Pelfrey,6.44,2.9009,,,,,6.44,2.9,69.1,0.0,69.1,9.8,79.1,65.9,82.3,75.1,50.7
TJ Fischer,23,2017,USF Pro 2000,Team Pelfrey,5.67,-1.0225,-0.77,-3.9234,,,5.67,-1.02,69.1,0.0,69.1,9.8,79.1,65.9,82.3,75.1,50.7
Ty Fisher,14,2025,USF Juniors,Zanella,5.87,-2.07,,,,,7.5,-0.72,56.7,5.0,61.7,,97.5,98.4,97.1,,
Louis Foster,18,2022,USF Pro 2000,Exclusive Autosport,4.06,-2.0,,,Yes,Yes,4.06,-2.0,94.3,0.0,91.2,85.1,99.8,88.2,100.0,100.0,92.0
Igor Fraga,19,2018,USF2000,Exclusive Autosport,7.71,-2.9885,,,,,7.58,-1.86,63.8,0.0,63.8,48.3,85.2,86.7,83.2,89.6,73.6
Victor Franzoni,20,2016,USF2000,ArmsUp Motorsports,3.62,-2.6754,-6.71,-0.263,Yes,,3.49,-1.55,100.0,0.0,95.0,73.7,95.6,100.0,94.1,87.1,86.2
Victor Franzoni,19,2015,USF Pro 2000,M1 Racing,10.33,-2.4124,,,Yes,,10.33,-2.41,100.0,0.0,95.0,73.7,95.6,100.0,94.1,87.1,86.2
Victor Franzoni,21,2017,USF Pro 2000,Juncos Racing,1.42,-1.0615,-2.2,1.6139,Yes,,1.42,-1.06,100.0,0.0,95.0,73.7,95.6,100.0,94.1,87.1,86.2
Billy Frazer,18,2021,USF2000,Exclusive Autosport,11.11,-0.8836,,,,,10.98,0.25,40.3,0.0,40.3,43.1,91.7,95.0,90.4,89.8,74.6
Billy Frazer,19,2022,USF2000,Exclusive Autosport,9.0,-1.73,-2.11,-0.8464,,,8.87,-0.6,40.3,0.0,40.3,43.1,91.7,95.0,90.4,89.8,74.6
Kaylen Frederick,14,2017,USF2000,Team Pelfrey,5.08,-2.7836,,,,,4.95,-1.65,62.0,20.0,82.0,49.6,97.4,97.0,97.5,98.6,80.8
Kaylen Frederick,15,2018,USF2000,Pabst Racing,12.0,4.0,6.92,6.7836,,,11.87,5.13,62.0,11.2,73.2,49.6,97.4,97.0,97.5,98.6,80.8
Danial Frost,17,2019,USF Pro 2000,Exclusive Autosport,5.69,-1.6548,,,Yes,,5.69,-1.65,79.2,1.5,80.7,86.3,89.1,87.1,89.7,87.0,87.1
Danial Frost,18,2020,USF Pro 2000,Turn 3 Motorsport,5.29,-1.084,-0.4,0.5708,Yes,,5.29,-1.08,79.2,0.0,79.2,86.3,89.1,87.1,89.7,87.0,87.1
Luke Gabin,19,2015,USF2000,Team Pelfrey,9.44,0.1113,,,,,9.31,1.24,54.2,0.0,54.2,8.9,78.5,73.8,79.7,80.3,53.5
Luke Gabin,20,2016,USF2000,JAY Motorsports,7.0,-2.4588,-2.44,-2.5701,,,6.87,-1.33,54.2,0.0,54.2,8.9,78.5,73.8,79.7,80.3,53.5
Caleb Gafrarar,16,2025,USF2000,Pabst Racing,7.67,0.41,,,,,7.54,1.54,41.4,5.0,46.4,82.7,88.8,87.8,90.6,100.0,89.9
Max Garcia,15,2025,USF Pro 2000,Pabst Racing,2.39,-1.47,-0.72,-0.06,Yes,,2.39,-1.47,91.3,13.5,96.6,51.3,99.4,100.0,97.7,99.9,82.5
Max Garcia,14,2024,USF2000,Pabst Racing,3.11,-1.41,-6.27,-5.23,Yes,,2.98,-0.28,91.3,20.0,98.7,51.3,99.4,100.0,97.7,99.9,82.5
Max Garcia,13,2023,USF2000,Pabst Racing,9.38,3.82,,,Yes,,9.25,4.95,91.3,0.0,89.2,51.3,99.4,100.0,97.7,99.9,82.5
Jorge Garciarce,18,2023,USF2000,DEForce Racing,9.83,-0.95,-3.11,-0.02,Yes,,9.7,0.18,48.2,0.0,48.2,21.6,83.7,88.0,79.0,77.9,60.5
Jorge Garciarce,17,2022,USF2000,Jay Howard Driver Development,12.94,-0.93,,,Yes,,12.81,0.2,48.2,1.2,49.4,21.6,83.7,88.0,79.0,77.9,60.5
Jorge Garciarce,19,2024,USF Pro 2000,DEForce Racing,10.33,-0.63,0.5,0.32,Yes,,10.33,-0.63,48.2,0.0,48.2,21.6,83.7,88.0,79.0,77.9,60.5
Jorge Garciarce,20,2025,USF Pro 2000,DEForce Racing,12.47,-0.09,2.14,0.54,Yes,,12.47,-0.09,48.2,0.0,48.2,21.6,83.7,88.0,79.0,77.9,60.5
Chase Gardner,17,2023,USF2000,Exclusive Autosport,9.2,-2.25,,,,,9.07,-1.12,50.6,1.2,51.8,64.7,77.2,76.1,79.3,77.9,73.0
Bijoy Garg,17,2020,USF2000,Jay Howard Driver Development,13.36,1.733,,,,,13.23,2.86,20.2,1.2,21.4,60.1,89.1,87.8,90.7,80.7,76.3
Bijoy Garg,18,2021,USF2000,Jay Howard Driver Development,19.27,-0.4158,5.91,-2.1488,,,19.14,0.71,20.2,0.0,20.2,60.1,89.1,87.8,90.7,80.7,76.3
Bijoy Garg,19,2022,USF2000,DEForce Racing,10.27,0.13,-9.0,0.5458,,,10.14,1.26,20.2,0.0,20.2,60.1,89.1,87.8,90.7,80.7,76.3
Bijoy Garg,20,2023,USF Pro 2000,DEForce Racing,12.19,3.55,1.92,3.42,,,12.19,3.55,20.2,0.0,20.2,60.1,89.1,87.8,90.7,80.7,76.3
Sebastián Garzón,15,2025,USF2000,DEForce Racing,9.89,-1.73,,,,,9.76,-0.6,43.3,11.2,54.5,28.8,85.3,84.0,88.9,96.1,68.7
Nicolas Giaffone,19,2024,USF2000,DEForce Racing,8.83,-2.34,5.33,-0.75,,,8.7,-1.21,77.6,0.0,77.6,100.0,96.9,93.0,98.8,82.7,93.1
Nicolas Giaffone,18,2023,USF Juniors,DEForce Racing,3.5,-1.59,,,,,5.13,-0.24,77.6,0.0,77.6,100.0,96.9,93.0,98.8,82.7,93.1
Ryan Giannetta,15,2025,USF2000,Velocity Racing Development,14.88,10.27,,,,,14.75,11.4,18.0,11.2,29.2,,76.6,69.7,85.7,78.4,49.5
Brady Golan,16,2024,USF Juniors,DEForce Racing,13.25,0.08,,,,,14.88,1.43,33.7,0.0,33.7,36.9,74.8,77.0,72.3,65.9,59.0
Brady Golan,16,2024,USF2000,DEForce Racing,12.67,0.68,4.17,-2.07,,,12.54,1.81,33.7,5.0,38.7,36.9,74.8,77.0,72.3,65.9,59.0
Brady Golan,15,2023,USF Juniors,DEForce Racing,8.5,2.75,,,,,10.13,4.1,33.7,0.0,33.7,36.9,74.8,77.0,72.3,65.9,59.0
Brady Golan,17,2025,USF Pro 2000,Turn 3 Motorsport,13.2,3.02,0.53,2.34,,,13.2,3.02,33.7,1.5,35.2,36.9,74.8,77.0,72.3,65.9,59.0
Reece Gold,14,2019,USF2000,Cape Motorsports,10.33,4.8275,,,Yes,,10.2,5.96,83.2,20.0,96.1,100.0,97.6,98.4,97.8,93.3,97.4
Reece Gold,15,2020,USF2000,Cape Motorsports,5.53,-1.8872,-4.8,-6.7147,Yes,,5.4,-0.76,83.2,11.2,91.3,100.0,97.6,98.4,97.8,93.3,97.4
Reece Gold,16,2021,USF Pro 2000,Juncos Racing,5.06,-1.7606,-0.47,0.1266,Yes,,5.06,-1.76,83.2,6.0,87.8,100.0,97.6,98.4,97.8,93.3,97.4
Reece Gold,17,2022,USF Pro 2000,Juncos Racing,4.72,-0.26,-0.34,1.5006,Yes,,4.72,-0.26,83.2,1.5,84.7,100.0,97.6,98.4,97.8,93.3,97.4
Patricio González,16,2025,USF Juniors,DEForce Racing,9.0,-1.41,-4.63,-0.14,,,10.63,-0.06,28.6,0.0,28.6,7.3,83.5,88.1,78.8,67.2,52.3
Patricio González,15,2024,USF Juniors,DEForce DD,13.63,-1.27,,,,,15.26,0.08,28.6,0.0,28.6,7.3,83.5,88.1,78.8,67.2,52.3
Rodrigo González,19,2025,USF Juniors,DEForce Racing,7.56,-2.2,-8.88,-3.74,,,9.19,-0.85,33.1,0.0,33.1,19.5,87.2,88.4,85.2,63.6,56.4
Rodrigo González,18,2024,USF Juniors,DEForce DD,16.44,1.54,,,,,18.07,2.89,33.1,0.0,33.1,19.5,87.2,88.4,85.2,63.6,56.4
Dev Gore,19,2017,USF2000,Exclusive Autosport,14.71,5.1554,,,,,14.58,6.29,18.0,0.0,18.0,,,,,,
Joel Granfors,17,2023,USF Pro 2000,Exclusive Autosport,8.31,-1.94,,,,,8.31,-1.94,70.3,1.5,71.8,94.2,92.4,89.9,97.3,75.1,88.0
Jeff Green,60,2017,USF Pro 2000,Juncos Racing,9.83,7.3485,,,,,9.83,7.35,28.9,-25.0,3.9,7.7,37.3,31.9,40.0,,14.9
Josh Green,17,2020,USF2000,Cape Motorsports,8.29,-0.1037,,,Yes,,8.16,1.03,70.7,1.2,71.9,57.4,89.6,92.7,88.9,95.1,80.5
Josh Green,18,2021,USF2000,Turn 3 Motorsport,7.44,-2.9446,-0.85,-2.8409,Yes,,7.31,-1.81,70.7,0.0,70.7,57.4,89.6,92.7,88.9,95.1,80.5
Josh Green,19,2022,USF Pro 2000,Turn 3 Motorsport,7.17,-1.37,-0.27,1.5746,Yes,,7.17,-1.37,70.7,0.0,70.7,57.4,89.6,92.7,88.9,95.1,80.5
Garett Grist,19,2015,USF Pro 2000,Juncos Racing,5.81,-0.9773,,,,,5.81,-0.98,77.8,0.0,77.8,56.8,99.8,87.8,99.8,99.8,81.8
Diego Guiot,16,2025,USF Juniors,Zanella,8.81,-0.25,-4.63,-0.12,,,10.44,1.1,20.9,0.0,20.9,,75.8,75.8,75.4,,
Diego Guiot,15,2024,USF Juniors,Zanella,13.44,-0.13,,,,,15.07,1.22,20.9,0.0,20.9,,75.8,75.8,75.4,,
Andrés Gutiérrez,17,2018,USF Pro 2000,Team Pelfrey,9.18,0.3423,,,,,9.18,0.34,50.3,1.5,51.8,,83.6,86.8,82.5,84.5,55.0
José Gutiérrez,18,2015,USF Pro 2000,Juncos Racing,8.5,1.8436,,,,,8.5,1.84,44.0,0.0,44.0,27.8,88.0,87.6,86.3,95.5,68.6
Max Hanratty,21,2015,USF2000,ArmsUp Motorsports,11.56,0.7992,,,,,11.43,1.93,25.1,0.0,25.1,18.0,59.9,69.3,54.9,65.2,48.3
Nicky Hays,20,2022,USF2000,Cape Motorsports,8.72,1.02,,,,,8.59,2.15,31.5,0.0,31.5,41.6,85.0,82.3,86.2,80.6,67.9
Ethan Ho,17,2023,USF Juniors,DC,8.3,-1.75,,,,,9.93,-0.4,48.2,0.0,48.2,74.5,85.6,84.1,88.0,75.8,78.7
Ethan Ho,17,2023,USF2000,DC,10.54,-1.16,0.73,-0.1,,,10.41,-0.03,48.2,1.2,49.4,74.5,85.6,84.1,88.0,75.8,78.7
Ethan Ho,16,2022,USF Juniors,DC,9.81,-1.06,,,,,11.44,0.29,48.2,0.0,48.2,74.5,85.6,84.1,88.0,75.8,78.7
Ethan Ho,18,2024,USF Pro 2000,Turn 3 Motorsport,14.07,3.59,3.53,4.75,,,14.07,3.59,48.2,0.0,48.2,74.5,85.6,84.1,88.0,75.8,78.7
Zach Holden,18,2019,USF2000,BN Racing,8.08,-1.723,,,,,7.95,-0.59,53.3,0.0,53.3,37.0,78.6,,78.6,87.9,48.1
JT Hoskins,16,2025,USF Juniors,Jay Howard Driver Development,12.13,1.8,,,,,13.76,3.15,18.0,0.0,18.0,,78.5,75.4,80.5,,
Ayrton Houk,20,2024,USF2000,DC,11.13,-1.6,,,,,11.0,-0.47,34.0,0.0,34.0,95.6,79.7,80.7,77.5,76.4,84.3
Ayrton Houk,21,2025,USF2000,Benchmark,11.62,0.0,0.49,1.6,,,11.49,1.13,34.0,0.0,34.0,95.6,79.7,80.7,77.5,76.4,84.3
Lochie Hughes,21,2024,USF Pro 2000,Turn 3 Motorsport,4.94,-2.76,-1.95,-0.74,Yes,,4.94,-2.76,89.8,0.0,88.2,74.9,95.8,98.2,89.9,100.0,89.5
Lochie Hughes,20,2023,USF2000,Jay Howard Driver Development,6.89,-2.02,,,Yes,,6.76,-0.89,89.8,0.0,88.2,74.9,95.8,98.2,89.9,100.0,89.5
Ayden Ingratta,15,2024,USF Juniors,Jay Howard Driver Development,11.6,-0.91,,,,,13.23,0.44,35.1,0.0,35.1,,87.0,94.7,83.2,,
Alan Isambard,18,2022,USF Juniors,InterMS,8.92,0.15,,,,,10.55,1.5,28.0,0.0,28.0,,73.5,72.0,75.0,,
Maxwell Jamieson,19,2024,USF2000,DEForce Racing,13.72,1.94,-0.78,-2.88,,,13.59,3.07,17.3,0.0,17.3,12.2,68.9,69.7,68.2,60.2,46.4
Maxwell Jamieson,18,2023,USF2000,DEForce Racing,14.5,4.82,0.96,-1.06,,,14.37,5.95,17.3,0.0,17.3,12.2,68.9,69.7,68.2,60.2,46.4
Maxwell Jamieson,17,2022,USF Juniors,DEForce Racing,13.54,5.88,,,,,15.17,7.23,17.3,0.0,17.3,12.2,68.9,69.7,68.2,60.2,46.4
Nico Jamin,19,2015,USF2000,Cape Motorsports,2.25,-0.5625,,,Yes,,2.12,0.57,98.8,0.0,94.2,100.0,100.0,100.0,100.0,95.9,98.8
Nico Jamin,20,2016,USF Pro 2000,Cape Motorsports,4.0,-1.3956,1.75,-0.8331,Yes,,4.0,-1.4,98.8,0.0,94.2,100.0,100.0,100.0,100.0,95.9,98.8
Jack Jeffers,17,2024,USF Juniors,Exclusive Autosport,7.56,-2.19,1.75,-0.38,,,9.19,-0.84,81.2,0.0,81.2,54.0,94.7,90.8,97.5,98.7,80.9
Jack Jeffers,18,2025,USF2000,Exclusive Autosport,3.78,-2.08,-3.78,0.11,,,3.65,-0.95,81.2,0.0,81.2,54.0,94.7,90.8,97.5,98.7,80.9
Jack Jeffers,16,2023,USF Juniors,Exclusive Autosport,5.81,-1.81,,,,,7.44,-0.46,81.2,0.0,81.2,54.0,94.7,90.8,97.5,98.7,80.9
Nikita Johnson,14,2023,USF2000,Velocity Racing Development,5.5,-2.75,-5.61,-1.28,Yes,,5.37,-1.62,82.4,20.0,95.8,59.3,93.7,89.2,96.3,93.0,80.6
Nikita Johnson,15,2024,USF Pro 2000,Velocity Racing Development,4.89,-1.66,-0.61,1.09,Yes,,4.89,-1.66,82.4,13.5,92.3,59.3,93.7,89.2,96.3,93.0,80.6
Nikita Johnson,13,2022,USF2000,Velocity Racing Development,11.11,-1.47,,,Yes,,10.98,-0.34,82.4,0.0,82.4,59.3,93.7,89.2,96.3,93.0,80.6
Nikita Johnson,13,2022,USF Juniors,Velocity Racing Development,3.94,-0.34,,,Yes,,5.57,1.01,82.4,0.0,82.4,59.3,93.7,89.2,96.3,93.0,80.6
Leandro Juncos,18,2024,USF Juniors,DEForce Racing,13.4,0.23,,,,,15.03,1.58,27.5,0.0,27.5,,84.0,87.1,81.7,,
Max Kaeser,16,2020,USF2000,Miller Vinatieri Motorsports,14.75,1.977,,,,,14.62,3.11,18.0,5.0,23.0,13.9,74.5,7.6,74.5,,15.4
Bob Kaminsky,57,2020,USF Pro 2000,Pabst Racing,11.9,4.6175,,,,,11.9,4.62,28.0,-25.0,3.0,,36.4,25.3,36.9,,
Colin Kaminsky,17,2017,USF2000,John Cummiskey Racing,14.5,-2.5991,,,,,14.37,-1.47,59.8,1.2,61.0,47.8,86.4,89.5,85.6,83.0,72.4
Colin Kaminsky,18,2018,USF2000,DEForce Racing,12.0,-1.1173,-2.5,1.4818,,,11.87,0.01,59.8,0.0,59.8,47.8,86.4,89.5,85.6,83.0,72.4
Colin Kaminsky,19,2019,USF2000,Pabst Racing,5.47,-1.4885,-6.53,-0.3712,,,5.34,-0.36,59.8,0.0,59.8,47.8,86.4,89.5,85.6,83.0,72.4
Colin Kaminsky,20,2020,USF Pro 2000,Pabst Racing,7.88,-0.6373,2.41,0.8512,,,7.88,-0.64,59.8,0.0,59.8,47.8,86.4,89.5,85.6,83.0,72.4
Colin Kaminsky,22,2022,USF Pro 2000,Pabst Racing,8.6,-0.56,,,,,8.6,-0.56,59.8,0.0,59.8,47.8,86.4,89.5,85.6,83.0,72.4
Darren Keane,17,2017,USF2000,Newman Wachs Racing,11.82,-1.3119,,,,,11.69,-0.18,42.8,1.2,44.0,48.6,75.4,72.2,77.1,82.7,67.5
Darren Keane,18,2018,USF2000,Newman Wachs Racing,13.67,-1.0926,1.85,0.2193,,,13.54,0.04,42.8,0.0,42.8,48.6,75.4,72.2,77.1,82.7,67.5
Darren Keane,19,2019,USF2000,Cape Motorsports,6.07,-0.8363,-7.6,0.2563,,,5.94,0.29,42.8,0.0,42.8,48.6,75.4,72.2,77.1,82.7,67.5
Dalton Kellett,21,2015,USF Pro 2000,Andretti Autosport,9.13,0.9677,,,Yes,Yes,9.13,0.97,46.3,0.0,46.3,66.0,80.3,76.4,80.3,86.1,76.0
Kyle Kirkwood,19,2018,USF2000,Cape Motorsports,1.36,0.0,,,Yes,Yes,1.23,1.13,100.0,0.0,95.0,85.0,96.5,97.6,96.2,96.7,92.7
Kyle Kirkwood,20,2019,USF Pro 2000,RP Motorsport,4.12,-1.7706,2.76,-1.7706,Yes,Yes,4.12,-1.77,100.0,0.0,95.0,85.0,96.5,97.6,96.2,96.7,92.7
Lucas Kohl,17,2016,USF2000,John Cummiskey Racing,12.88,0.1449,,,,,12.75,1.28,24.4,1.2,25.6,79.2,88.7,93.8,87.0,81.3,84.2
Lucas Kohl,18,2017,USF2000,Pabst Racing,10.29,4.9378,-2.59,4.7929,,,10.16,6.07,24.4,0.0,24.4,79.2,88.7,93.8,87.0,81.3,84.2
Lucas Kohl,19,2018,USF2000,Pabst Racing,8.79,-0.2051,-1.5,-5.1429,,,8.66,0.93,24.4,0.0,24.4,79.2,88.7,93.8,87.0,81.3,84.2
Spike Kohlbecker,18,2021,USF2000,Cape Motorsports,8.44,-1.7183,,,,,8.31,-0.59,42.9,0.0,42.9,49.7,88.3,86.1,88.7,88.4,74.2
Spike Kohlbecker,19,2022,USF2000,Turn 3 Motorsport,9.94,0.2,1.5,1.9183,,,9.81,1.33,42.9,0.0,42.9,49.7,88.3,86.1,88.7,88.4,74.2
Xavier Kokai,18,2024,USF2000,Velocity Racing Development,14.1,6.46,,,,,13.97,7.59,18.0,0.0,18.0,56.3,74.9,79.0,62.5,68.1,65.8
Nikita Lastochkin,24,2015,USF2000,Team Pelfrey,9.0,-0.3183,,,Yes,,8.87,0.81,62.6,-6.0,56.6,22.4,77.4,79.1,76.8,77.1,58.2
Nikita Lastochkin,25,2016,USF2000,Cape Motorsports,9.13,2.1803,0.13,2.4986,Yes,,9.0,3.31,62.6,-13.5,49.1,22.4,77.4,79.1,76.8,77.1,58.2
Nikita Lastochkin,26,2017,USF Pro 2000,Team Pelfrey,5.5,-1.127,-3.63,-3.3073,Yes,,5.5,-1.13,62.6,-6.0,56.6,22.4,77.4,79.1,76.8,77.1,58.2
Nikita Lastochkin,27,2018,USF Pro 2000,Cape Motorsports,8.38,1.9699,2.88,3.0969,Yes,,8.38,1.97,62.6,-13.5,49.1,22.4,77.4,79.1,76.8,77.1,58.2
Nikita Lastochkin,28,2019,USF Pro 2000,Exclusive Autosport,7.38,-0.5917,-1.0,-2.5616,Yes,,7.38,-0.59,62.6,-24.0,38.6,22.4,77.4,79.1,76.8,77.1,58.2
Alessandro Latif,18,2015,USF Pro 2000,World Speed Motorsports,12.38,-0.9338,,,Yes,,12.38,-0.93,54.2,0.0,54.2,17.8,60.2,64.2,54.7,70.4,48.5
Florian Latorre,17,2015,USF Pro 2000,Cape Motorsports,9.06,0.6694,,,Yes,,9.06,0.67,48.7,1.5,50.2,55.2,91.0,89.6,91.0,100.0,80.7
Jackson Lee,18,2021,USF2000,Jay Howard Driver Development,17.07,-2.2751,,,,,16.94,-1.14,47.9,0.0,47.9,41.3,80.9,81.6,80.2,76.6,65.8
Jackson Lee,20,2023,USF Pro 2000,Turn 3 Motorsport,13.82,4.94,,,,,13.82,4.94,47.9,0.0,47.9,41.3,80.9,81.6,80.2,76.6,65.8
Rasmus Lindh,16,2018,USF2000,Pabst Racing,7.57,-1.2028,,,,,7.44,-0.07,90.6,5.0,92.1,100.0,99.6,100.0,99.0,93.0,97.8
Rasmus Lindh,17,2019,USF Pro 2000,Juncos Racing,2.56,-0.8124,-5.01,0.3904,,,2.56,-0.81,90.6,1.5,89.8,100.0,99.6,100.0,99.0,93.0,97.8
Jordan Lloyd,20,2016,USF2000,Pabst Racing,6.75,-1.6987,,,,,6.62,-0.57,60.6,0.0,60.6,60.0,94.5,89.7,96.9,100.0,83.1
Jimmie Lockhart,15,2023,USF Juniors,Velocity Racing Development,5.44,-1.12,,,,,7.07,0.23,52.7,0.0,52.7,,86.8,86.5,85.0,,
Liam Loiacono,17,2025,USF Juniors,Jay Howard Driver Development,5.13,-2.64,,,,,6.76,-1.29,64.6,0.0,64.6,,98.2,100.0,89.7,,
Brad Majman,15,2025,USF2000,Jay Howard Driver Development,9.46,-0.46,,,,,9.33,0.67,37.2,11.2,48.4,37.6,89.4,94.6,84.3,96.4,73.8
David Malukas,15,2017,USF2000,BN Racing,9.89,-3.3452,,,Yes,Yes,9.76,-2.21,82.5,11.2,90.8,44.8,98.6,100.0,96.8,93.9,78.3
David Malukas,16,2018,USF Pro 2000,BN Racing,5.81,-1.1636,-4.08,2.1816,Yes,Yes,5.81,-1.16,82.5,6.0,87.3,44.8,98.6,100.0,96.8,93.9,78.3
Sebastian Manson,17,2025,USF Pro 2000,TJ Speed,12.89,2.58,,,,,12.89,2.58,30.8,1.5,32.3,2.5,71.2,67.2,79.2,83.4,50.5
Anthony Martella,16,2025,USF2000,Jay Howard Driver Development,10.33,0.41,,,,,10.2,1.54,27.7,5.0,32.7,100.0,81.1,82.6,79.7,79.2,87.4
Anthony Martin,20,2015,USF2000,John Cummiskey Racing,4.94,-0.4786,,,,,4.81,0.65,93.6,0.0,90.8,96.5,94.1,92.5,94.5,92.6,94.2
Anthony Martin,21,2016,USF2000,Cape Motorsports,3.5,-1.8379,-1.44,-1.3593,,,3.37,-0.71,93.6,0.0,90.8,96.5,94.1,92.5,94.5,92.6,94.2
Anthony Martin,22,2017,USF Pro 2000,Cape Motorsports,1.83,-0.9746,-1.67,0.8633,,,1.83,-0.97,93.6,0.0,90.8,96.5,94.1,92.5,94.5,92.6,94.2
Austin McCusker,18,2016,USF2000,Chastain Motorsports,12.54,-1.7951,,,,,12.41,-0.66,42.4,0.0,42.4,12.2,73.4,54.7,73.5,64.0,44.6
Russell McDonough,20,2018,USF2000,BN Racing,18.21,4.6803,,,,,18.08,5.81,18.0,0.0,18.0,4.6,67.9,65.6,68.5,52.8,40.6
Hunter McElrea,19,2019,USF2000,Pabst Racing,3.73,-1.8786,,,Yes,Yes,3.6,-0.75,89.6,0.0,88.1,57.0,89.8,84.2,91.7,94.0,78.4
Hunter McElrea,20,2020,USF Pro 2000,Pabst Racing,5.94,-1.8245,2.21,0.0541,Yes,Yes,5.94,-1.82,89.6,0.0,88.1,57.0,89.8,84.2,91.7,94.0,78.4
Hunter McElrea,21,2021,USF Pro 2000,Pabst Racing,4.61,-1.2763,-1.33,0.5482,Yes,Yes,4.61,-1.28,89.6,0.0,88.1,57.0,89.8,84.2,91.7,94.0,78.4
Clint McMahan,36,2016,USF2000,RJB Motorsports,16.91,1.3965,,,,,16.78,2.53,21.1,-25.0,0.0,,58.5,52.6,55.5,53.9,34.8
Liam McNeilly,17,2024,USF Juniors,Jay Howard Driver Development,6.19,-3.15,,,,,7.82,-1.8,62.1,0.0,62.1,,99.5,100.0,95.5,98.8,63.8
Robert Megennis,15,2016,USF2000,Team Pelfrey,7.75,-2.7448,,,Yes,,7.62,-1.61,68.2,11.2,79.4,34.6,87.6,81.9,89.0,86.7,67.4
Robert Megennis,16,2017,USF2000,Team Pelfrey,8.92,-1.8399,1.17,0.9049,Yes,,8.79,-0.71,68.2,5.0,73.2,34.6,87.6,81.9,89.0,86.7,67.4
Robert Megennis,17,2018,USF Pro 2000,Juncos Racing,7.25,2.813,-1.67,4.6529,Yes,,7.25,2.81,68.2,1.5,69.7,34.6,87.6,81.9,89.0,86.7,67.4
Jack William Miller,15,2019,USF2000,Miller Vinatieri Motorsports,14.67,0.0,,,Yes,,14.54,1.13,45.8,11.2,57.0,67.6,85.1,84.9,86.0,76.3,76.4
Jack William Miller,16,2020,USF2000,Miller Vinatieri Motorsports,9.94,-2.3436,-4.73,-2.3436,Yes,,9.81,-1.21,45.8,5.0,50.8,67.6,85.1,84.9,86.0,76.3,76.4
Jack William Miller,17,2021,USF Pro 2000,Miller Vinatieri Motorsports,9.82,0.0,-0.12,2.3436,Yes,,9.82,0.0,45.8,1.5,47.3,67.6,85.1,84.9,86.0,76.3,76.4
Jack William Miller,19,2023,USF Pro 2000,Miller Vinatieri Motorsports,10.39,0.0,1.78,0.0,Yes,,10.39,0.0,45.8,0.0,45.8,67.6,85.1,84.9,86.0,76.3,76.4
Jack William Miller,18,2022,USF Pro 2000,Miller Vinatieri Motorsports,8.61,0.0,-1.21,0.0,Yes,,8.61,0.0,45.8,0.0,45.8,67.6,85.1,84.9,86.0,76.3,76.4
