Driver,Age,Year,Series,Team,AVG Finish,TAAF Delta,AF YoY Change,TAAF Delta YoY Change,Advanced to Indy NXT,Advanced to IndyCar,Series-Adj AVG Finish,Series-Adj TAAF Delta,Prospect Score,Age Adjustment,Age-Adjusted Score,xPACE_Oval,xPACE_Road,xPACE_Long_Road,xPACE_Short_Road,xPACE_Street,Indy_xPACE
Christian Bogle,18,2020,USF2000,Jay Howard Driver Development,12.71,0.9501,-2.29,-3.8606,Yes,,12.58,2.08,13.0,0.0,13.0,10.3,67.6,39.3,67.6,62.2,39.1
Jake Bonilla,20,2022,USF Juniors,DEForce Racing,11.13,1.99,,,,,12.76,3.34,18.0,0.0,18.0,,77.2,77.4,77.2,,
Wian Boshoff,15,2025,USF2000,Sarah Fisher Hartman Racing,14.0,1.47,,,,,13.87,2.6,20.7,11.2,31.9,43.6,68.0,64.1,72.0,61.0,56.9
Lindsay Brewer,25,2023,USF Pro 2000,Exclusive Autosport,15.22,6.15,2.77,-0.78,Yes,,15.22,6.15,19.4,-1.5,17.9,8.0,65.4,62.2,68.5,60.2,43.2
Lindsay Brewer,24,2022,USF Pro 2000,Exclusive Autosport,12.45,6.93,,,Yes,,12.45,6.93,19.4,0.0,19.4,8.0,65.4,62.2,68.5,60.2,43.2
Wyatt Brichacek,19,2020,USF2000,Jay Howard Driver Development,14.47,3.2351,,,,,14.34,4.37,25.3,0.0,25.3,6.2,83.3,91.2,80.4,83.8,57.8
Wyatt Brichacek,20,2021,USF Pro 2000,Jay Howard Driver Development,9.89,4.0832,-4.58,0.8481,,,9.89,4.08,25.3,0.0,25.3,6.2,83.3,91.2,80.4,83.8,57.8
Joey Brienza,19,2024,USF2000,Exclusive Autosport,7.44,-2.32,1.06,-0.75,,,7.31,-1.19,70.7,0.0,70.7,36.6,91.0,94.2,88.2,81.9,69.5
Joey Brienza,18,2023,USF Juniors,Exclusive Autosport,6.38,-1.57,,,,,8.01,-0.22,70.7,0.0,70.7,36.6,91.0,94.2,88.2,81.9,69.5
Joey Brienza,20,2025,USF Pro 2000,Exclusive Autosport,11.0,0.55,3.56,2.87,,,11.0,0.55,70.7,0.0,70.7,36.6,91.0,94.2,88.2,81.9,69.5
Christian Brooks,19,2020,USF2000,Exclusive Autosport,6.76,-2.7148,,,Yes,,6.63,-1.58,74.0,0.0,74.0,64.5,91.6,89.4,92.4,99.8,84.0
Christian Brooks,20,2021,USF2000,Exclusive Autosport,7.0,-2.9403,0.24,-0.2255,Yes,,6.87,-1.81,74.0,0.0,74.0,64.5,91.6,89.4,92.4,99.8,84.0
Christian Brooks,23,2024,USF Pro 2000,Pabst Racing,6.64,-0.45,,,Yes,,6.64,-0.45,74.0,0.0,74.0,64.5,91.6,89.4,92.4,99.8,84.0
Jonathan Browne,22,2023,USF Pro 2000,Turn 3 Motorsport,9.39,-0.73,-1.08,-2.63,Yes,,9.39,-0.73,47.5,0.0,47.5,54.2,86.6,87.1,84.6,80.3,73.2
Jonathan Browne,21,2022,USF Pro 2000,Turn 3 Motorsport,10.47,1.9,,,,,10.47,1.9,47.5,0.0,47.5,54.2,86.6,87.1,84.6,80.3,73.2
Timothé Buret,19,2015,USF Pro 2000,Juncos Racing,6.44,-0.5025,,,,,6.44,-0.5,71.1,0.0,71.1,20.1,97.8,89.2,97.8,93.8,67.2
Trey Burke,16,2021,USF2000,Joe Dooling Autosports,19.33,0.0,,,,,19.2,1.13,21.5,5.0,26.5,18.6,74.7,84.2,65.9,84.8,59.1
Trey Burke,17,2022,USF2000,Joe Dooling Autosports,15.4,0.0,-3.93,0.0,,,15.27,1.13,21.5,1.2,22.7,18.6,74.7,84.2,65.9,84.8,59.1
Daniel Burkett,20,2015,USF Pro 2000,Cape Motorsports,9.81,1.5969,,,,,9.81,1.6,38.3,0.0,38.3,36.2,79.2,74.5,78.6,98.1,68.4
Giovanni Cabrera,15,2023,USF Juniors,Exclusive Autosport,12.25,5.51,,,,,13.88,6.86,18.0,0.0,18.0,,40.9,45.4,39.8,,
Christian Cameron,14,2025,USF2000,Velocity Racing Development,10.76,2.4,-2.68,-1.21,,,10.63,3.53,21.1,20.0,41.1,45.0,82.4,81.8,82.8,82.8,69.2
Christian Cameron,13,2024,USF Juniors,Velocity Racing Development,13.44,3.61,,,,,15.07,4.96,21.1,0.0,21.1,45.0,82.4,81.8,82.8,82.8,69.2
Prescott Campbell,19,2020,USF2000,Exclusive Autosport,11.82,0.5476,,,,,11.69,1.68,20.0,0.0,20.0,90.1,91.3,91.9,90.6,74.7,86.0
Prescott Campbell,20,2021,USF2000,DEForce Racing,12.33,1.832,0.51,1.2844,,,12.2,2.96,20.0,0.0,20.0,90.1,91.3,91.9,90.6,74.7,86.0
Jordan Cane,14,2016,USF2000,Cape Motorsports,12.85,9.5547,,,,,12.72,10.69,18.0,20.0,38.0,,83.1,82.2,84.1,75.5,51.4
Timothy Carel,17,2024,USF Juniors,Jay Howard Driver Development,12.07,-0.5,,,,,13.7,0.85,38.9,0.0,38.9,,79.3,78.6,79.5,73.7,49.5
Timothy Carel,18,2025,USF2000,Jay Howard Driver Development,12.63,3.41,0.56,3.91,,,12.5,4.54,38.9,0.0,38.9,,79.3,78.6,79.5,73.7,49.5
Giorgio Carrara,21,2022,USF Juniors,InterMS,8.0,-0.7,,,,,9.63,0.65,35.7,-1.5,34.2,,88.5,77.2,88.5,,
Andre Castro,23,2022,USF Juniors,InterMS,7.31,-1.22,,,,,8.94,0.13,43.0,-13.5,29.5,,84.1,76.2,86.0,88.5,54.1
Sam Chastain,23,2016,USF2000,Chastain Motorsports,16.73,2.3949,,,,,16.6,3.53,18.0,-1.5,16.5,,64.1,60.4,63.4,52.0,37.0
Dylan Christie,17,2021,USF2000,Turn 3 Motorsport,15.5,4.0114,,,,,15.37,5.14,7.3,1.2,8.5,51.8,88.3,88.0,87.6,83.9,74.0
Dylan Christie,18,2022,USF2000,DEForce Racing,11.83,1.98,-3.67,-2.0314,,,11.7,3.11,7.3,0.0,7.3,51.8,88.3,88.0,87.6,83.9,74.0
Mac Clark,20,2025,USF Pro 2000,Exclusive Autosport,5.72,-2.6,-4.59,-1.96,,,5.72,-2.6,83.8,0.0,83.8,100.0,95.5,94.9,96.1,80.4,92.6
Mac Clark,18,2023,USF2000,DEForce Racing,7.17,-2.45,3.73,-0.26,,,7.04,-1.32,83.8,0.0,83.8,100.0,95.5,94.9,96.1,80.4,92.6
Mac Clark,17,2022,USF Juniors,DEForce Racing,3.44,-2.19,,,,,5.07,-0.84,83.8,0.0,83.8,100.0,95.5,94.9,96.1,80.4,92.6
Mac Clark,19,2024,USF Pro 2000,DEForce Racing,10.31,-0.64,3.14,1.81,,,10.31,-0.64,83.8,0.0,83.8,100.0,95.5,94.9,96.1,80.4,92.6
Jayson Clunie,47,2017,USF2000,Exclusive Autosport,14.0,3.994,,,,,13.87,5.12,18.0,-25.0,0.0,,,,,31.9,
Maddie Colleran,15,2025,USF Juniors,Zanella,16.69,14.02,,,,,18.32,15.37,18.0,0.0,18.0,,56.1,77.5,36.8,,
Antoine Comeau,34,2020,USF Pro 2000,Turn 3 Motorsport,9.67,4.3844,,,,,9.67,4.38,29.8,-25.0,4.8,38.0,62.6,27.4,64.0,,27.4
